,color,rgb
0,cloudy blue,#acc2d9
1,dark pastel green,#56ae57
2,dust,#b2996e
3,electric lime,#a8ff04
4,fresh green,#69d84f
5,light eggplant,#894585
6,nasty green,#70b23f
7,really light blue,#d4ffff
8,tea,#65ab7c
9,warm purple,#952e8f
10,yellowish tan,#fcfc81
11,cement,#a5a391
12,dark grass green,#388004
13,dusty teal,#4c9085
14,grey teal,#5e9b8a
15,macaroni and cheese,#efb435
16,pinkish tan,#d99b82
17,spruce,#0a5f38
18,strong blue,#0c06f7
19,toxic green,#61de2a
20,windows blue,#3778bf
21,blue blue,#2242c7
22,blue with a hint of purple,#533cc6
23,booger,#9bb53c
24,bright sea green,#05ffa6
25,dark green blue,#1f6357
26,deep turquoise,#017374
27,green teal,#0cb577
28,strong pink,#ff0789
29,bland,#afa88b
30,deep aqua,#08787f
31,lavender pink,#dd85d7
32,light moss green,#a6c875
33,light seafoam green,#a7ffb5
34,olive yellow,#c2b709
35,pig pink,#e78ea5
36,deep lilac,#966ebd
37,desert,#ccad60
38,dusty lavender,#ac86a8
39,purpley grey,#947e94
40,purply,#983fb2
41,candy pink,#ff63e9
42,light pastel green,#b2fba5
43,boring green,#63b365
44,kiwi green,#8ee53f
45,light grey green,#b7e1a1
46,orange pink,#ff6f52
47,tea green,#bdf8a3
48,very light brown,#d3b683
49,egg shell,#fffcc4
50,eggplant purple,#430541
51,powder pink,#ffb2d0
52,reddish grey,#997570
53,baby shit brown,#ad900d
54,liliac,#c48efd
55,stormy blue,#507b9c
56,ugly brown,#7d7103
57,custard,#fffd78
58,darkish pink,#da467d
59,deep brown,#410200
60,greenish beige,#c9d179
61,manilla,#fffa86
62,off blue,#5684ae
63,battleship grey,#6b7c85
64,browny green,#6f6c0a
65,bruise,#7e4071
66,kelley green,#009337
67,sickly yellow,#d0e429
68,sunny yellow,#fff917
69,azul,#1d5dec
70,darkgreen,#054907
71,green/yellow,#b5ce08
72,lichen,#8fb67b
73,light light green,#c8ffb0
74,pale gold,#fdde6c
75,sun yellow,#ffdf22
76,tan green,#a9be70
77,burple,#6832e3
